,time,open,high,low,close,%Change
348,"21-Jan-2022, 18:00:00",1833.77,1834.67,1831.58,1831.82,-0.1063
349,"21-Jan-2022, 19:00:00",1831.74,1836.37,1830.2,1835.15,0.1862
350,"21-Jan-2022, 20:00:00",1834.91,1841.9,1833.77,1841.25,0.3455
351,"21-Jan-2022, 21:00:00",1841.08,1843.12,1839.05,1840.6,-0.0261
352,"21-Jan-2022, 22:00:00",1840.6,1840.76,1831.01,1834.34,-0.3401
353,"21-Jan-2022, 23:00:00",1834.34,1835.07,1830.12,1834.83,0.0267
354,"22-Jan-2022, 00:00:00",1834.83,1835.07,1830.28,1832.56,-0.1237
355,"22-Jan-2022, 01:00:00",1832.64,1832.8,1829.06,1831.91,-0.0398
356,"22-Jan-2022, 02:00:00",1831.99,1832.56,1829.47,1831.5,-0.0267
357,"22-Jan-2022, 03:00:00",1831.5,1831.99,1827.44,1831.99,0.0268
358,"22-Jan-2022, 04:00:00",1831.66,1835.07,1829.63,1834.34,0.1463
359,"24-Jan-2022, 05:00:00",1834.26,1834.42,1834.26,1834.42,0.0087
360,"24-Jan-2022, 06:00:00",1834.42,1837.02,1831.17,1834.59,0.0093
361,"24-Jan-2022, 07:00:00",1834.59,1834.91,1831.74,1832.96,-0.0888
362,"24-Jan-2022, 08:00:00",1832.96,1836.29,1831.26,1836.13,0.1729
363,"24-Jan-2022, 09:00:00",1836.05,1837.35,1834.1,1836.45,0.0218
364,"24-Jan-2022, 10:00:00",1836.54,1837.35,1834.34,1836.37,-0.0093
365,"24-Jan-2022, 11:00:00",1836.21,1837.92,1835.07,1837.75,0.0839
366,"24-Jan-2022, 12:00:00",1837.59,1839.54,1835.56,1838.65,0.0577
367,"24-Jan-2022, 13:00:00",1838.65,1839.3,1835.64,1837.35,-0.0707
368,"24-Jan-2022, 14:00:00",1837.43,1839.38,1835.24,1837.84,0.0223
369,"24-Jan-2022, 15:00:00",1837.84,1841.65,1836.86,1840.35,0.1366
370,"24-Jan-2022, 16:00:00",1840.27,1844.25,1839.54,1841.08,0.044
371,"24-Jan-2022, 17:00:00",1841.08,1842.06,1836.45,1839.7,-0.075
372,"24-Jan-2022, 18:00:00",1839.79,1840.35,1835.97,1838.08,-0.0929
373,"24-Jan-2022, 19:00:00",1837.92,1840.84,1835.32,1838.16,0.0131
374,"24-Jan-2022, 20:00:00",1838.4,1842.87,1833.37,1835.15,-0.1768
375,"24-Jan-2022, 21:00:00",1835.24,1841.08,1831.91,1833.94,-0.0708
376,"24-Jan-2022, 22:00:00",1833.94,1835.97,1828.41,1834.34,0.0218
377,"24-Jan-2022, 23:00:00",1834.18,1835.32,1831.26,1834.91,0.0398
378,"25-Jan-2022, 00:00:00",1834.75,1838.57,1832.39,1838.4,0.1989
379,"25-Jan-2022, 01:00:00",1838.16,1842.95,1836.78,1841.08,0.1589
380,"25-Jan-2022, 02:00:00",1840.68,1842.47,1837.35,1838.49,-0.119
381,"25-Jan-2022, 03:00:00",1838.32,1842.3,1836.54,1841.25,0.1594
382,"25-Jan-2022, 04:00:00",1841.17,1844.01,1840.35,1842.47,0.0706
383,"25-Jan-2022, 05:00:00",1842.14,1842.87,1841.82,1842.38,0.013
